"genus","family_dropped","family_wcvp"
"Igidia","Hyacinthaceae","Asparagaceae"
"Iljinia","Chenopodiaceae","Amaranthaceae"
"Jodina","Cervantesiaceae","Santalaceae"
"Kali","Chenopodiaceae","Amaranthaceae"
"Kalidium","Chenopodiaceae","Amaranthaceae"
"Kaviria","Chenopodiaceae","Amaranthaceae"
"Kingdonia","Circaeasteraceae","Ranunculaceae"
"Korthalsella","Viscaceae","Santalaceae"
"Krascheninnikovia","Chenopodiaceae","Amaranthaceae"
"Lachenalia","Hyacinthaceae","Asparagaceae"
"Lactoris","Lactoridaceae","Aristolochiaceae"
"Lagenantha","Chenopodiaceae","Amaranthaceae"
"Lancea","Phrymaceae","Mazaceae"
"Lapageria","Smilacaceae","Philesiaceae"
"Laureliopsis","Atherospermataceae","Monimiaceae"
"Lawsonia","Desulfovibrionaceae","Lythraceae"
"Ledebouria","Hyacinthaceae","Asparagaceae"
"Ledenbergia","Phytolaccaceae","Petiveriaceae"
"Leea","Leeaceae","Vitaceae"
"Leichhardtia","Apocynaceae","Phyllanthaceae"
"Lennoa","Lennoaceae","Boraginaceae"
"Lepidocordia","Ehretiaceae","Boraginaceae"
"Leptomeria","Amphorogynaceae","Santalaceae"
"Leptonema","Leptospiraceae","Phyllanthaceae"
"Limosella","Scrophulariaceae","Plantaginaceae"
"Lipandra","Chenopodiaceae","Amaranthaceae"
"Lomariocycas","Blechnaceae","Aspleniaceae"
"Loncomelos","Hyacinthaceae","Asparagaceae"
"Loxsoma","Loxsomataceae","Cyatheaceae"
"Maburea","Erythropalaceae","Olacaceae"
"Maireana","Chenopodiaceae","Amaranthaceae"
"Malacocera","Chenopodiaceae","Amaranthaceae"
"Malaifilix","Pteridryaceae","Polypodiaceae"
"Malania","Ximeniaceae","Olacaceae"
"Manochlamys","Chenopodiaceae","Amaranthaceae"
"Massonia","Hyacinthaceae","Asparagaceae"
"Merwilla","Hyacinthaceae","Asparagaceae"
"Micranthemum","Plantaginaceae","Linderniaceae"
"Microcarpaea","Plantaginaceae","Phrymaceae"
"Microcnemum","Chenopodiaceae","Amaranthaceae"
"Microgynoecium","Chenopodiaceae","Amaranthaceae"
"Microrrhinum","Plantaginaceae","Scrophulariaceae"
"Mida","Nanodeaceae","Santalaceae"
"Minquartia","Coulaceae","Olacaceae"
"Monococcus","Phytolaccaceae","Petiveriaceae"
"Mostuea","Loganiaceae","Gelsemiaceae"
"Muscari","Hyacinthaceae","Asparagaceae"
"Myriopus","Heliotropiaceae","Boraginaceae"
"Mystropetalon","Mystropetalaceae","Balanophoraceae"
"Nama","Namaceae","Boraginaceae"
"Namophila","Hyacinthaceae","Asparagaceae"
"Nanodea","Nanodeaceae","Santalaceae"
"Nanophyton","Chenopodiaceae","Amaranthaceae"
"Nemophila","Hydrophyllaceae","Boraginaceae"
"Neobassia","Chenopodiaceae","Amaranthaceae"
"Neoblechnum","Blechnaceae","Aspleniaceae"
"Neokochia","Chenopodiaceae","Amaranthaceae"
"Neopatersonia","Hyacinthaceae","Asparagaceae"
"Neuroloma","Brassicaceae","Andreaeaceae"
"Nicipe","Hyacinthaceae","Asparagaceae"
"Noaea","Chenopodiaceae","Amaranthaceae"
"Notothixos","Viscaceae","Santalaceae"
"Oceaniopteris","Blechnaceae","Aspleniaceae"
"Ochanostachys","Coulaceae","Olacaceae"
"Octoknema","Octoknemaceae","Olacaceae"
"Oecopetalum","Metteniusaceae","Icacinaceae"
"Ofaiston","Chenopodiaceae","Amaranthaceae"
"Okoubaka","Cervantesiaceae","Santalaceae"
"Ongokea","Aptandraceae","Olacaceae"
"Oreobliton","Chenopodiaceae","Amaranthaceae"
"Ornithogalum","Hyacinthaceae","Asparagaceae"
"Osteocarpum","Chenopodiaceae","Amaranthaceae"
"Osyridicarpos","Thesiaceae","Santalaceae"
"Ottoschulzia","Metteniusaceae","Icacinaceae"
"Oxybasis","Chenopodiaceae","Amaranthaceae"
"Oxygyne","Thismiaceae","Burmanniaceae"
"Oziroe","Hyacinthaceae","Asparagaceae"
"Pakau","Thelypteridaceae","Aspleniaceae"
"Patellifolia","Chenopodiaceae","Amaranthaceae"
"Pelazoneuron","Thelypteridaceae","Aspleniaceae"
"Peltanthera","Peltantheraceae","Gesneriaceae"
"Pentarhizidium","Onocleaceae","Aspleniaceae"
"Petrosimonia","Chenopodiaceae","Amaranthaceae"
"Phacelia","Hydrophyllaceae","Boraginaceae"
"Phacellaria","Amphorogynaceae","Santalaceae"
"Phanerodiscus","Aptandraceae","Olacaceae"
"Pholisma","Lennoaceae","Boraginaceae"
"Pholistoma","Hydrophyllaceae","Boraginaceae"
"Phoradendron","Viscaceae","Santalaceae"
"Pilgerina","Cervantesiaceae","Santalaceae"
"Piptoptera","Chenopodiaceae","Amaranthaceae"
"Pittosporopsis","Metteniusaceae","Icacinaceae"
"Platea","Metteniusaceae","Icacinaceae"
"Platyspermation","Alseuosmiaceae","Escalloniaceae"
"Pleurosorus","Polypodiaceae","Aspleniaceae"
"Polydictyum","Pteridryaceae","Tectariaceae"
"Polystichopsis","Dryopteridaceae","Polypodiaceae"
"Proatriplex","Chenopodiaceae","Amaranthaceae"
"Prosartes","Colchicaceae","Liliaceae"
"Prosopanche","Hydnoraceae","Aristolochiaceae"
"Prospero","Hyacinthaceae","Asparagaceae"
"Pseudogaltonia","Hyacinthaceae","Asparagaceae"
"Pseudomisopates","Plantaginaceae","Scrophulariaceae"
"Pseudomuscari","Hyacinthaceae","Asparagaceae"
"Pseudoprospero","Hyacinthaceae","Asparagaceae"
"Pseudotectaria","Dryopteridaceae","Tectariaceae"
"Pteridrys","Pteridryaceae","Tectariaceae"
"Puschkinia","Hyacinthaceae","Asparagaceae"
"Pyankovia","Chenopodiaceae","Amaranthaceae"
"Pyrularia","Cervantesiaceae","Santalaceae"
"Reholttumia","Thelypteridaceae","Aspleniaceae"
"Resnova","Hyacinthaceae","Asparagaceae"
"Rhagodia","Chenopodiaceae","Amaranthaceae"
"Rhaphidophyton","Chenopodiaceae","Amaranthaceae"
"Rochefortia","Ehretiaceae","Boraginaceae"
"Romanzoffia","Hydrophyllaceae","Boraginaceae"
"Rothia","Micrococcaceae","Fabaceae"
"Roycea","Chenopodiaceae","Amaranthaceae"
"Ruppia","Cymodoceaceae","Ruppiaceae"
"Salicornia","Chenopodiaceae","Amaranthaceae"
"Salsola","Chenopodiaceae","Amaranthaceae"
"Sambucus","Adoxaceae","Viburnaceae"
"Sandersonia","Liliaceae","Colchicaceae"
"Saruma","Asaraceae","Aristolochiaceae"
"Schindleria","Phytolaccaceae","Petiveriaceae"
"Schizocarphus","Hyacinthaceae","Asparagaceae"
"Schwartzia","Selenomonadaceae","Marcgraviaceae"
"Scilla","Hyacinthaceae","Asparagaceae"
"Sclerolaena","Chenopodiaceae","Amaranthaceae"
"Scleropyrum","Cervantesiaceae","Santalaceae"
"Scoliopus","Melanthiaceae","Liliaceae"
"Scorodocarpus","Strombosiaceae","Olacaceae"
"Seguieria","Phytolaccaceae","Petiveriaceae"
"Seidlitzia","Chenopodiaceae","Amaranthaceae"
"Semiliquidambar","Hamamelidaceae","Altingiaceae"
"Senegalia","Clostridiaceae","Fabaceae"
"Sinopyrenaria","Sapotaceae","Theaceae"
"Spetaea","Hyacinthaceae","Asparagaceae"
"Spinacia","Chenopodiaceae","Amaranthaceae"
"Spirobassia","Chenopodiaceae","Amaranthaceae"
"Spirogardnera","Amphorogynaceae","Santalaceae"
"Staufferia","Cervantesiaceae","Santalaceae"
"Strombosia","Strombosiaceae","Olacaceae"
"Strombosiopsis","Strombosiaceae","Olacaceae"
"Strophocaulon","Thelypteridaceae","Aspleniaceae"
"Stutzia","Chenopodiaceae","Amaranthaceae"
"Suaeda","Chenopodiaceae","Amaranthaceae"
"Suckleya","Chenopodiaceae","Amaranthaceae"
"Sympegma","Chenopodiaceae","Amaranthaceae"
"Tacca","Taccaceae","Dioscoreaceae"
"Tecticornia","Chenopodiaceae","Amaranthaceae"
"Telephium","Caryophyllaceae","Molluginaceae"
"Tetilla","Francoaceae","Saxifragaceae"
"Tetracoccus","Paracoccaceae","Picrodendraceae"
"Tetradoxa","Adoxaceae","Viburnaceae"
"Tetrastylidium","Strombosiaceae","Olacaceae"
"Thesium","Thesiaceae","Santalaceae"
"Thismia","Thismiaceae","Burmanniaceae"
"Threlkeldia","Chenopodiaceae","Amaranthaceae"
"Tiquilia","Ehretiaceae","Boraginaceae"
"Tournefortia","Heliotropiaceae","Boraginaceae"
"Traganopsis","Chenopodiaceae","Amaranthaceae"
"Traganum","Chenopodiaceae","Amaranthaceae"
"Trapella","Pedaliaceae","Plantaginaceae"
"Triaenophora","Orobanchaceae","Plantaginaceae"
"Tricardia","Hydrophyllaceae","Boraginaceae"
"Trichostigma","Phytolaccaceae","Petiveriaceae"
"Trigonopleura","Euphorbiaceae","Peraceae"
